'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
1.100000000000000000e+02,1.100000000000000000e+02,1.100000152587890625e+02,1.100000000000000000e+02,1.151419067382812500e+02,7.806655883789062500e+02,7.806108398437500000e+02,7.824035644531250000e+02,7.833820800781250000e+02,7.742514038085937500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000152587890625e+02,1.100000000000000000e+02,1.162209777832031250e+02,7.794467163085937500e+02,7.793666381835937500e+02,7.759765625000000000e+02,7.810979614257812500e+02,7.728748168945312500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000228881835938e+02,1.100000076293945312e+02,1.172915725708007812e+02,7.781529541015625000e+02,7.780565185546875000e+02,7.689301147460937500e+02,7.781514282226562500e+02,7.714004516601562500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000228881835938e+02,1.100000076293945312e+02,1.182978210449218750e+02,7.768071899414062500e+02,7.767006835937500000e+02,7.622626953125000000e+02,7.744779663085937500e+02,7.698843383789062500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000305175781250e+02,1.100000076293945312e+02,1.192512512207031250e+02,7.754196166992187500e+02,7.753070068359375000e+02,7.563493041992187500e+02,7.707223510742187500e+02,7.683366088867187500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000305175781250e+02,1.100000076293945312e+02,1.201599884033203125e+02,7.739979858398437500e+02,7.738818969726562500e+02,7.508526611328125000e+02,7.650101928710937500e+02,7.667645874023437500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.920100708007812500e+02,7.920101318359375000e+02,7.909375610351562500e+02,7.909508666992187500e+02,7.918204345703125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.918498535156250000e+02,7.918498535156250000e+02,7.908959960937500000e+02,7.909088134765625000e+02,7.916597900390625000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.916903686523437500e+02,7.916903686523437500e+02,7.908291015625000000e+02,7.908415527343750000e+02,7.915005493164062500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.915306396484375000e+02,7.915306396484375000e+02,7.907422485351562500e+02,7.907543334960937500e+02,7.913414306640625000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.913702392578125000e+02,7.913701782226562500e+02,7.906394653320312500e+02,7.906513671875000000e+02,7.911817626953125000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.912088623046875000e+02,7.912088012695312500e+02,7.905240478515625000e+02,7.905357055664062500e+02,7.910211791992187500e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.910465087890625000e+02,7.910465087890625000e+02,7.903984985351562500e+02,7.904099731445312500e+02,7.908597412109375000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.908831176757812500e+02,7.908830566406250000e+02,7.902646484375000000e+02,7.902760009765625000e+02,7.906984863281250000e+02
1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,1.100000000000000000e+02,7.907187500000000000e+02,7.907186889648437500e+02,7.901242065429687500e+02,7.901354980468750000e+02,7.905445556640625000e+02
