'Stempel_innen_mitte', 'Stempel_aussen', 'Matrize_zarge_oben', 'Matrize_zarge_mitte','Matrize_zarge_unten', 'Werkstueck_boden', 'Werkstueck_zarge_unten' , 'Werkstueck_zarge_mitte', 'Werkstueck_zarge_oben'
1.654188995361328125e+02,1.142771224975585938e+02,1.133658981323242188e+02,1.244900207519531250e+02,1.312297210693359375e+02,2.897038574218750000e+02,2.897031860351562500e+02,2.897474365234375000e+02,2.878252258300781250e+02,2.907763366699218750e+02
1.647975463867187500e+02,1.149849243164062500e+02,1.139730377197265625e+02,1.242209167480468750e+02,1.317370452880859375e+02,2.870483398437500000e+02,2.870476074218750000e+02,2.853653564453125000e+02,2.847541198730468750e+02,2.880564270019531250e+02
1.640522308349609375e+02,1.156302032470703125e+02,1.145544815063476562e+02,1.239137878417968750e+02,1.320929565429687500e+02,2.845128784179687500e+02,2.845122375488281250e+02,2.814048461914062500e+02,2.817301025390625000e+02,2.853972778320312500e+02
1.632561798095703125e+02,1.162102050781250000e+02,1.151063232421875000e+02,1.235966339111328125e+02,1.323361816406250000e+02,2.820839538574218750e+02,2.820834350585937500e+02,2.777758789062500000e+02,2.787637939453125000e+02,2.828172607421875000e+02
1.624411773681640625e+02,1.167275848388671875e+02,1.156264801025390625e+02,1.232867813110351562e+02,1.324923706054687500e+02,2.797309265136718750e+02,2.797304992675781250e+02,2.744231872558593750e+02,2.758749084472656250e+02,2.803083496093750000e+02
1.612253112792968750e+02,1.173820495605468750e+02,1.163337783813476562e+02,1.228657150268554688e+02,1.325840911865234375e+02,2.763089294433593750e+02,2.763086547851562500e+02,2.698847351074218750e+02,2.717467651367187500e+02,2.766747436523437500e+02
1.600421142578125000e+02,1.179358215332031250e+02,1.169696350097656250e+02,1.224982376098632812e+02,1.325690765380859375e+02,2.729579467773437500e+02,2.729577636718750000e+02,2.657410583496093750e+02,2.678291320800781250e+02,2.731441955566406250e+02
1.583782806396484375e+02,1.185981445312500000e+02,1.177750320434570312e+02,1.220632858276367188e+02,1.323841705322265625e+02,2.680416564941406250e+02,2.680415649414062500e+02,2.601935119628906250e+02,2.623901062011718750e+02,2.680255737304687500e+02
1.568386840820312500e+02,1.191356582641601562e+02,1.184474182128906250e+02,1.217267532348632812e+02,1.320903015136718750e+02,2.632219543457031250e+02,2.632219543457031250e+02,2.551591796875000000e+02,2.573355712890625000e+02,2.630565795898437500e+02
1.548160552978515625e+02,1.197504730224609375e+02,1.192053756713867188e+02,1.213794937133789062e+02,1.315198669433593750e+02,2.562778015136718750e+02,2.562778625488281250e+02,2.484753265380859375e+02,2.504955596923828125e+02,2.559669799804687500e+02
1.530379333496093750e+02,1.202375183105468750e+02,1.197668762207031250e+02,1.211339263916015625e+02,1.308841705322265625e+02,2.495922851562500000e+02,2.495924072265625000e+02,2.423897094726562500e+02,2.442049865722656250e+02,2.491849822998046875e+02
1.514730987548828125e+02,1.206339263916015625e+02,1.201717300415039062e+02,1.209523544311523438e+02,1.302246856689453125e+02,2.431852416992187500e+02,2.431853790283203125e+02,2.367593841552734375e+02,2.383587188720703125e+02,2.427126007080078125e+02
1.498213348388671875e+02,1.210249938964843750e+02,1.204902572631835938e+02,1.207823104858398438e+02,1.294232330322265625e+02,2.357721252441406250e+02,2.357723083496093750e+02,2.303824462890625000e+02,2.317304534912109375e+02,2.352475433349609375e+02
1.483852539062500000e+02,1.213478088378906250e+02,1.206760330200195312e+02,1.206382827758789062e+02,1.286495513916015625e+02,2.287831268310546875e+02,2.287833251953125000e+02,2.244130096435546875e+02,2.255339508056640625e+02,2.282241058349609375e+02
1.471246337890625000e+02,1.216191024780273438e+02,1.207628173828125000e+02,1.205051879882812500e+02,1.279139709472656250e+02,2.222012176513671875e+02,2.222014465332031250e+02,2.187799987792968750e+02,2.197013092041015625e+02,2.216194000244140625e+02
1.457996978759765625e+02,1.218906021118164062e+02,1.207657165527343750e+02,1.203468093872070312e+02,1.270847244262695312e+02,2.147813262939453125e+02,2.147815704345703125e+02,2.123675842285156250e+02,2.130856170654296875e+02,2.141832580566406250e+02
1.446344451904296875e+02,1.221170501708984375e+02,1.206972198486328125e+02,1.201855010986328125e+02,1.263168487548828125e+02,2.078648681640625000e+02,2.078651275634765625e+02,2.063090667724609375e+02,2.068581542968750000e+02,2.072588195800781250e+02
1.435967254638671875e+02,1.223067245483398438e+02,1.205793457031250000e+02,1.200194168090820312e+02,1.256071472167968750e+02,2.014031372070312500e+02,2.014034118652343750e+02,2.005631866455078125e+02,2.009729461669921875e+02,2.007954101562500000e+02
1.424643859863281250e+02,1.224958724975585938e+02,1.203860397338867188e+02,1.198072280883789062e+02,1.248099441528320312e+02,1.940169219970703125e+02,1.940172119140625000e+02,1.938724365234375000e+02,1.941468505859375000e+02,1.934140625000000000e+02
1.414515380859375000e+02,1.226475372314453125e+02,1.201641387939453125e+02,1.195904083251953125e+02,1.240848312377929688e+02,1.871642913818359375e+02,1.871645812988281250e+02,1.875563659667968750e+02,1.877250366210937500e+02,1.865717620849609375e+02
1.405348205566406250e+02,1.227679214477539062e+02,1.199264144897460938e+02,1.193714370727539062e+02,1.234237594604492188e+02,1.807824096679687500e+02,1.807826995849609375e+02,1.815808715820312500e+02,1.816674041748046875e+02,1.802044677734375000e+02
1.395045166015625000e+02,1.228791580200195312e+02,1.196192703247070312e+02,1.190979537963867188e+02,1.226818618774414062e+02,1.734208984375000000e+02,1.734211883544921875e+02,1.745715789794921875e+02,1.745832519531250000e+02,1.728659667968750000e+02
1.385699462890625000e+02,1.229582672119140625e+02,1.193127822875976562e+02,1.188289718627929688e+02,1.220149765014648438e+02,1.666146392822265625e+02,1.666148986816406250e+02,1.679977416992187500e+02,1.679557952880859375e+02,1.660858764648437500e+02
1.377142181396484375e+02,1.230113143920898438e+02,1.190129699707031250e+02,1.185670852661132812e+02,1.214131774902343750e+02,1.602938232421875000e+02,1.602940979003906250e+02,1.618191986083984375e+02,1.617396697998046875e+02,1.597932128906250000e+02
1.367348785400390625e+02,1.230462570190429688e+02,1.186513290405273438e+02,1.182508163452148438e+02,1.207405471801757812e+02,1.529712982177734375e+02,1.529715423583984375e+02,1.545763854980468750e+02,1.544674072265625000e+02,1.525074615478515625e+02
1.358400115966796875e+02,1.230565185546875000e+02,1.183100814819335938e+02,1.179510803222656250e+02,1.201425476074218750e+02,1.462229614257812500e+02,1.462231750488281250e+02,1.478391265869140625e+02,1.477133789062500000e+02,1.457958221435546875e+02
1.350166168212890625e+02,1.230478668212890625e+02,1.179904861450195312e+02,1.176687698364257812e+02,1.196085357666015625e+02,1.399748535156250000e+02,1.399750518798828125e+02,1.415562591552734375e+02,1.414225769042968750e+02,1.395834197998046875e+02
1.340671539306640625e+02,1.230151062011718750e+02,1.176194381713867188e+02,1.173385772705078125e+02,1.190164642333984375e+02,1.327298126220703125e+02,1.327299957275390625e+02,1.342243194580078125e+02,1.340894775390625000e+02,1.323809967041015625e+02
1.331995086669921875e+02,1.229670333862304688e+02,1.172816925048828125e+02,1.170358657836914062e+02,1.184968490600585938e+02,1.260794067382812500e+02,1.260795822143554688e+02,1.274644088745117188e+02,1.273338699340820312e+02,1.257698745727539062e+02
1.324026947021484375e+02,1.229084396362304688e+02,1.169750976562500000e+02,1.167592620849609375e+02,1.180388031005859375e+02,1.199464035034179688e+02,1.199465560913085938e+02,1.212124404907226562e+02,1.210893478393554688e+02,1.196725997924804688e+02
1.314842071533203125e+02,1.228234939575195312e+02,1.166295776367187500e+02,1.164452896118164062e+02,1.175370483398437500e+02,1.128389282226562500e+02,1.128390579223632812e+02,1.139533843994140625e+02,1.138420410156250000e+02,1.126049957275390625e+02
1.313721160888671875e+02,1.228128509521484375e+02,1.165875473022460938e+02,1.164070587158203125e+02,1.174762420654296875e+02,1.119710769653320312e+02,1.119712066650390625e+02,1.130668182373046875e+02,1.129569549560546875e+02,1.117419891357421875e+02
1.426424255371093750e+02,1.101774520874023438e+02,1.101119537353515625e+02,1.182709732055664062e+02,1.167963562011718750e+02,4.752383728027343750e+02,4.752403869628906250e+02,4.757281188964843750e+02,4.742581481933593750e+02,4.741236572265625000e+02
1.432447052001953125e+02,1.101956481933593750e+02,1.101243515014648438e+02,1.184907455444335938e+02,1.171148910522460938e+02,4.691196594238281250e+02,4.691215820312500000e+02,4.697478027343750000e+02,4.682754821777343750e+02,4.682122192382812500e+02
